Date,Six,Nine,Ten_Thirty,Thirteen_Thirty,Sixteen_Thirty,Ninteen_Thirty,Twenty_One
11/01/18,,,,9.1,,7.2,
11/02/18,4.8,8.4,,,4.2,,4.8
11/03/18,5.1,11.3,,13.4,14.2,4.2,7.1
11/04/18,4.9,11.4,,,4.7,13.2,
11/05/18,4.3,,9,,9.9,,9.5
11/06/18,6.1,,,,7.9,,7.6
11/07/18,4.6,,,,,,11
11/08/18,4.9,,,,9.1,,8.2
11/09/18,4.3,,15.3,,4.7,,9.6
11/10/18,5.6,,9.2,,11.2,,11.6
11/11/18,6.1,,,,5.3,,4.7
11/12/18,8.3,,,,11.3,,6.8
11/13/18,8.9,,7.3,,15.8,,14.9
11/14/18,6.7,,5.9,,6.3,,12.6
11/15/18,8.3,,9,,8.4,,10.6
11/16/18,,,,,15,,4.1
11/17/18,4.2,,,,14.6,,24
11/18/18,6.7,,,,11.9,,7.6
11/19/18,10.7,,,,,,8.7
11/20/18,5.3,,14.3,,,,7.9
11/21/18,6.4,,7.9,,,,10.1
11/22/18,7,,,,11.1,,8.5
11/23/18,5.6,,,,,,17.7
11/24/18,10.7,,,,,,7.7
11/25/18,4.6,,,,,10.4,10.3
11/26/18,7.3,,,,,,9.8
11/27/18,3.4,,13,,4.8,,9.2
11/28/18,6,,,,,,4.9
11/29/18,15,,13,,,,11
11/30/18,9.1,,6.9,,,,17
